,Date,total_entry,total_exit,total_profit,p,lots,p&l,slippage,final_profit,Day,final_equity,output
353,2019-06-12 00:00:00,202.7,132.55,70.15,101.35,9,15783.75,1508.625,14275.125,Wed,1233717.014,Win
354,2019-06-13 00:00:00,87.9,36.2,51.7,43.95,10,12925,620.5,12304.5,Thu,1246021.514,Win
355,2019-06-18 00:00:00,277.65,287.15,-9.5,138.825,7,-1662.5,1976.8,-3639.3,Tue,1242382.214,Loss
356,2019-06-19 00:00:00,187.35,208.6599455,-21.30994552,93.675,10,-5327.486379,1980.049728,-7307.536107,Wed,1235074.678,Loss
357,2019-06-20 00:00:00,93.2,114.8272787,-21.62727866,46.6,10,-5406.819666,1040.136393,-6446.956059,Thu,1228627.722,Loss
358,2019-06-25 00:00:00,288.5,270.1650126,18.33498744,144.25,6,2750.248116,1675.995038,1074.253078,Tue,1229701.975,Win
359,2019-06-26 00:00:00,199.1,183.8566335,15.24336648,99.55,10,3810.841619,1914.783168,1896.058451,Wed,1231598.033,Win
360,2019-06-27 00:00:00,103.7,15.35,88.35,51.85,10,22087.5,595.25,21492.25,Thu,1253090.283,Win
361,2019-07-02 00:00:00,264,233.45,30.55,132,7,5346.25,1741.075,3605.175,Tue,1256695.458,Win
362,2019-07-03 00:00:00,191.5,158.8,32.7,95.75,10,8175,1751.5,6423.5,Wed,1263118.958,Win
363,2019-07-04 00:00:00,86.2,19.45,66.75,43.1,10,16687.5,528.25,16159.25,Thu,1279278.208,Win
364,2019-07-09 00:00:00,282.4,280.4222078,1.97779217,141.2,7,346.1136298,1969.877727,-1623.764098,Tue,1277654.444,Loss
365,2019-07-10 00:00:00,169.35,168.6898885,0.660111469,84.675,10,165.0278673,1690.199443,-1525.171575,Wed,1276129.272,Loss
366,2019-07-11 00:00:00,68.3,38.4,29.9,34.15,10,7475,533.5,6941.5,Thu,1283070.772,Win
367,2019-07-16 00:00:00,208.15,182.5,25.65,104.075,9,5771.25,1757.925,4013.325,Tue,1287084.097,Win
368,2019-07-17 00:00:00,130.85,99.65,31.2,65.425,10,7800,1152.5,6647.5,Wed,1293731.597,Win
369,2019-07-18 00:00:00,49.8,88.83157112,-39.03157112,24.9,10,-9757.892779,693.1578556,-10451.05064,Thu,1283280.547,Loss
370,2019-07-23 00:00:00,250.3,240.7776284,9.522371571,125.15,7,1666.415025,1718.7717,-52.35667452,Tue,1283228.19,Loss
371,2019-07-24 00:00:00,184.35,126.45,57.9,92.175,10,14475,1554,12921,Wed,1296149.19,Win
372,2019-07-25 00:00:00,78.3,122.0695671,-43.76956714,39.15,10,-10942.39178,1001.847836,-11944.23962,Thu,1284204.951,Loss
373,2019-07-31 00:00:00,227.75,218.6250154,9.124984628,113.875,8,1824.996926,1785.500061,39.4968642,Wed,1284244.447,Win
374,2019-08-01 00:00:00,89.7,97.38473454,-7.684734541,44.85,10,-1921.183635,935.4236727,-2856.607308,Thu,1281387.84,Loss
375,2019-08-06 00:00:00,445.6,418.0777855,27.52221453,222.8,4,2752.221453,1727.355571,1024.865882,Tue,1282412.706,Win
376,2019-08-07 00:00:00,317,228.4,88.6,158.5,6,13290,1636.2,11653.8,Wed,1294066.506,Win
377,2019-08-08 00:00:00,123.85,246.0480435,-122.1980435,61.925,10,-30549.51089,1849.490218,-32399.0011,Thu,1261667.505,Loss
378,2019-08-13 00:00:00,221.7,193.8417457,27.85825433,110.85,9,6268.107225,1869.937855,4398.16937,Tue,1266065.674,Win
379,2019-08-14 00:00:00,144.75,39.25,105.5,72.375,10,26375,920,25455,Wed,1291520.674,Win
380,2019-08-20 00:00:00,341.05,294.15,46.9,170.525,5,5862.5,1588,4274.5,Tue,1295795.174,Win
381,2019-08-21 00:00:00,238.05,227.0147122,11.03528782,119.025,8,2207.057565,1860.258849,346.7987159,Wed,1296141.973,Win
382,2019-08-22 00:00:00,117.7,155.7482742,-38.04827416,58.85,10,-9512.068541,1367.241371,-10879.30991,Thu,1285262.663,Loss
383,2019-08-27 00:00:00,443.85,493.4058987,-49.55589872,221.925,4,-4955.589872,1874.511797,-6830.10167,Tue,1278432.561,Loss
384,2019-08-28 00:00:00,275.65,277.1101883,-1.460188292,137.825,7,-255.5329511,1934.660659,-2190.19361,Wed,1276242.368,Loss
385,2019-08-29 00:00:00,150.5,166.2062966,-15.70629661,75.25,10,-3926.574152,1583.531483,-5510.105635,Thu,1270732.262,Loss
386,2019-09-03 00:00:00,416,362.3,53.7,208,4,5370,1556.6,3813.4,Tue,1274545.662,Win
387,2019-09-04 00:00:00,284.95,287.1794824,-2.229482371,142.475,7,-390.1594149,2002.453188,-2392.612603,Wed,1272153.05,Loss
388,2019-09-05 00:00:00,152.05,167.7874928,-15.73749281,76.025,10,-3934.373203,1599.187464,-5533.560667,Thu,1266619.489,Loss
389,2019-09-11 00:00:00,212.45,161.95,50.5,106.225,9,11362.5,1684.8,9677.7,Wed,1276297.189,Win
390,2019-09-12 00:00:00,90.6,26.55,64.05,45.3,10,16012.5,585.75,15426.75,Thu,1291723.939,Win
391,2019-09-17 00:00:00,327.5,275.4037257,52.09627426,163.75,6,7814.441139,1808.711177,6005.729962,Tue,1297729.669,Win
392,2019-09-18 00:00:00,279.9,221.9,58,139.95,7,10150,1756.3,8393.7,Wed,1306123.369,Win
393,2019-09-19 00:00:00,133.1,113.25,19.85,66.55,10,4962.5,1231.75,3730.75,Thu,1309854.119,Win
394,2019-09-24 00:00:00,734.3,843.6643799,-109.3643799,367.15,2,-5468.218996,1577.96438,-7046.183376,Tue,1302807.935,Loss
395,2019-09-25 00:00:00,349.75,459.8597544,-110.1097544,174.875,5,-13763.7193,2024.024386,-15787.74369,Wed,1287020.192,Loss
396,2019-09-26 00:00:00,323.65,272.5864243,51.06357568,161.825,6,7659.536351,1788.709273,5870.827078,Thu,1292891.019,Win
397,2019-10-01 00:00:00,474.15,614.2014395,-140.0514395,237.075,4,-14005.14395,2176.702879,-16181.84683,Tue,1276709.172,Loss
398,2019-10-03 00:00:00,329.9,40.85,289.05,164.95,6,43357.5,1112.25,42245.25,Thu,1318954.422,Win
399,2019-10-09 00:00:00,429.1,376.2115798,52.88842023,214.55,4,5288.842023,1610.62316,3678.218863,Wed,1322632.641,Win
400,2019-10-10 00:00:00,215.85,246.3,-30.45,107.925,9,-6851.25,2079.675,-8930.925,Thu,1313701.716,Loss
401,2019-10-15 00:00:00,577.75,580.7639783,-3.013978311,288.875,3,-226.0483733,1737.770967,-1963.819341,Tue,1311737.897,Loss
